/Volumes/FAT32_FORMA/Thesis/short_video/frames_with_edges/video1_xuxin_vs_zhangjike_kuwait_2015/frame_00050.jpg
s_index: 50 	f_index: 1139 	Manhattan norm: 4520001.0 	Per pixel: 19.6180598958
s_index: 50 	f_index: 1140 	Manhattan norm: 4512136.0 	Per pixel: 19.5839236111
s_index: 50 	f_index: 1141 	Manhattan norm: 4420077.0 	Per pixel: 19.1843619792
s_index: 50 	f_index: 1142 	Manhattan norm: 4442566.0 	Per pixel: 19.2819704861
s_index: 50 	f_index: 1143 	Manhattan norm: 4583630.0 	Per pixel: 19.8942274306
s_index: 50 	f_index: 1144 	Manhattan norm: 4554621.0 	Per pixel: 19.7683203125
s_index: 50 	f_index: 1145 	Manhattan norm: 4621219.0 	Per pixel: 20.0573741319
s_index: 50 	f_index: 1146 	Manhattan norm: 4638004.0 	Per pixel: 20.1302256944
s_index: 50 	f_index: 1147 	Manhattan norm: 4620968.0 	Per pixel: 20.0562847222
s_index: 50 	f_index: 1148 	Manhattan norm: 4447360.0 	Per pixel: 19.3027777778
s_index: 50 	f_index: 1149 	Manhattan norm: 4455294.0 	Per pixel: 19.3372135417
s_index: 50 	f_index: 1150 	Manhattan norm: 9942290.0 	Per pixel: 43.1523003472
s_index: 50 	f_index: 1151 	Manhattan norm: 9458352.0 	Per pixel: 41.051875
s_index: 50 	f_index: 1152 	Manhattan norm: 9340002.0 	Per pixel: 40.538203125
s_index: 50 	f_index: 1153 	Manhattan norm: 9347738.0 	Per pixel: 40.5717795139
s_index: 50 	f_index: 1154 	Manhattan norm: 9521133.0 	Per pixel: 41.3243619792
s_index: 50 	f_index: 1155 	Manhattan norm: 9629328.0 	Per pixel: 41.7939583333
s_index: 50 	f_index: 1156 	Manhattan norm: 9479838.0 	Per pixel: 41.1451302083
s_index: 50 	f_index: 1157 	Manhattan norm: 9300286.0 	Per pixel: 40.3658246528
s_index: 50 	f_index: 1158 	Manhattan norm: 9742540.0 	Per pixel: 42.2853298611
s_index: 50 	f_index: 1159 	Manhattan norm: 9812733.0 	Per pixel: 42.5899869792
s_index: 50 	f_index: 1160 	Manhattan norm: 9547329.0 	Per pixel: 41.4380598958
s_index: 50 	f_index: 1161 	Manhattan norm: 9642677.0 	Per pixel: 41.8518967014
s_index: 50 	f_index: 1162 	Manhattan norm: 9363362.0 	Per pixel: 40.6395920139
s_index: 50 	f_index: 1163 	Manhattan norm: 8981431.0 	Per pixel: 38.9819053819
s_index: 50 	f_index: 1164 	Manhattan norm: 8883278.0 	Per pixel: 38.5558940972
s_index: 50 	f_index: 1165 	Manhattan norm: 9398072.0 	Per pixel: 40.7902430556
s_index: 50 	f_index: 1166 	Manhattan norm: 9388019.0 	Per pixel: 40.7466102431
s_index: 50 	f_index: 1167 	Manhattan norm: 9108573.0 	Per pixel: 39.5337369792
s_index: 50 	f_index: 1168 	Manhattan norm: 8810216.0 	Per pixel: 38.2387847222
s_index: 50 	f_index: 1169 	Manhattan norm: 8751670.0 	Per pixel: 37.9846788194
s_index: 50 	f_index: 1170 	Manhattan norm: 8705087.0 	Per pixel: 37.7824956597
