/Volumes/FAT32_FORMA/Thesis/short_video/frames/video1_xuxin_vs_zhangjike_kuwait_2015/frame_00050.jpg
s_index: 50 	f_index: 1138 	Manhattan norm: 4532123.99956 	Per pixel: 19.6706770814
s_index: 50 	f_index: 1139 	Manhattan norm: 4387787.35209 	Per pixel: 19.0442159379
s_index: 50 	f_index: 1140 	Manhattan norm: 4294953.10689 	Per pixel: 18.6412895264
s_index: 50 	f_index: 1141 	Manhattan norm: 4137662.83901 	Per pixel: 17.9586060721
s_index: 50 	f_index: 1142 	Manhattan norm: 4286019.77356 	Per pixel: 18.6025163783
s_index: 50 	f_index: 1143 	Manhattan norm: 4507175.43761 	Per pixel: 19.5623933924
s_index: 50 	f_index: 1144 	Manhattan norm: 4573816.69463 	Per pixel: 19.8516349593
s_index: 50 	f_index: 1145 	Manhattan norm: 4636843.01645 	Per pixel: 20.1251867033
s_index: 50 	f_index: 1146 	Manhattan norm: 4545946.4507 	Per pixel: 19.7306703589
s_index: 50 	f_index: 1147 	Manhattan norm: 4617754.74127 	Per pixel: 20.0423382868
s_index: 50 	f_index: 1148 	Manhattan norm: 4310289.0546 	Per pixel: 18.7078517995
s_index: 50 	f_index: 1149 	Manhattan norm: 4489308.71073 	Per pixel: 19.4848468348
s_index: 50 	f_index: 1150 	Manhattan norm: 14615112.3887 	Per pixel: 63.4336475206
s_index: 50 	f_index: 1151 	Manhattan norm: 14710869.711 	Per pixel: 63.8492608986
s_index: 50 	f_index: 1152 	Manhattan norm: 14537034.039 	Per pixel: 63.0947657941
s_index: 50 	f_index: 1153 	Manhattan norm: 14246464.2955 	Per pixel: 61.8336123939
s_index: 50 	f_index: 1154 	Manhattan norm: 14054512.2448 	Per pixel: 61.0004871735
s_index: 50 	f_index: 1155 	Manhattan norm: 13942193.9206 	Per pixel: 60.512994447
s_index: 50 	f_index: 1156 	Manhattan norm: 13862450.9397 	Per pixel: 60.1668877593
s_index: 50 	f_index: 1157 	Manhattan norm: 13684239.4739 	Per pixel: 59.3934004944
s_index: 50 	f_index: 1158 	Manhattan norm: 13930362.6375 	Per pixel: 60.4616433918
s_index: 50 	f_index: 1159 	Manhattan norm: 14537445.5161 	Per pixel: 63.0965517191
s_index: 50 	f_index: 1160 	Manhattan norm: 15138165.5041 	Per pixel: 65.7038433339
s_index: 50 	f_index: 1161 	Manhattan norm: 15523903.5496 	Per pixel: 67.3780536009
s_index: 50 	f_index: 1162 	Manhattan norm: 15274394.7941 	Per pixel: 66.295116294
s_index: 50 	f_index: 1163 	Manhattan norm: 15667282.4411 	Per pixel: 68.0003578173
s_index: 50 	f_index: 1164 	Manhattan norm: 15421305.7152 	Per pixel: 66.9327504999
s_index: 50 	f_index: 1165 	Manhattan norm: 15394427.5933 	Per pixel: 66.816091985
s_index: 50 	f_index: 1166 	Manhattan norm: 15145023.4162 	Per pixel: 65.7336085774
s_index: 50 	f_index: 1167 	Manhattan norm: 15812611.8436 	Per pixel: 68.6311277935
s_index: 50 	f_index: 1168 	Manhattan norm: 16860742.0699 	Per pixel: 73.180304123
s_index: 50 	f_index: 1169 	Manhattan norm: 16025715.0845 	Per pixel: 69.5560550542
s_index: 50 	f_index: 1170 	Manhattan norm: 15287938.4441 	Per pixel: 66.353899497
s_index: 50 	f_index: 1171 	Manhattan norm: 14979729.1333 	Per pixel: 65.0161854744
s_index: 50 	f_index: 1172 	Manhattan norm: 14347624.1081 	Per pixel: 62.2726740803
s_index: 50 	f_index: 1173 	Manhattan norm: 14170085.5318 	Per pixel: 61.5021073431
